nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;39;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;1472;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;59830;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;766;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;17986;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;39;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;36;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;514;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;1195;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;786;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;22307;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;9459;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;1120;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2011;Tahun;424284;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;871898;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;51069;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;32535;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;192149;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;347887;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;37514;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;554992;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;9487;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;34320;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;16002;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;10909;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;23300;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;233396;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;369;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;118106;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;79;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;551;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;10542;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;1433;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;8138;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;136983;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;113818;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;7270;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2012;Tahun;-;
